,pretty_formula,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
0,Ir0Ni0Ta100,Ta100,0.023994,0.023994,1,1.5,0,5,0,3,0,180.94788,0,1.45,0,52,0,1.35E-07,57,0,3290,0,0.11923578,0.105263158,0,0.157894737,0.736842105,0,0,0.11923578,0.11923578
1,Ir0Ni1Ta99,Ni1 Ta99,0.024860455,0.025179896,0.221560125,1.5041,0.28991378,5.05,3.535533906,3,0,179.7253352,86.44697184,1.449,0.070710678,52.15,10.60660172,1.34E-07,57.34,24.04163056,3274.38,1104.500792,0.10797766,0.105764146,0,0.161290323,0.732945531,1.327534577,0.013054873,0.118671398,0.118671398
2,Ir0Ni2Ta98,Ni2 Ta98,0.025727993,0.026313553,0.207417989,1.5082,0.28991378,5.1,3.535533906,3,0,178.5027904,86.44697184,1.448,0.070710678,52.3,10.60660172,1.34E-07,57.68,24.04163056,3258.76,1104.500792,0.096871443,0.106269926,0,0.164718385,0.72901169,1.168282069,0.01839303,0.118117962,0.118117962
3,Ir0Ni3Ta97,Ni3 Ta97,0.026596612,0.027394971,0.193275854,1.5123,0.28991378,5.15,3.535533906,3,0,177.2802456,86.44697184,1.447,0.070710678,52.45,10.60660172,1.33E-07,58.02,24.04163056,3243.14,1104.500792,0.085901283,0.106780566,0,0.168179391,0.725040043,1.076287435,0.022441025,0.11758567,0.11758567
4,Ir0Ni4Ta96,Ni4 Ta96,0.027466315,0.028424151,0.179133718,1.5164,0.28991378,5.2,3.535533906,3,0,176.0577008,86.44697184,1.446,0.070710678,52.6,10.60660172,1.32E-07,58.36,24.04163056,3227.52,1104.500792,0.075052702,0.107296137,0,0.17167382,0.721030043,1.011706694,0.025812704,0.117083921,0.117083921
5,Ir0Ni5Ta95,Ni5 Ta95,0.028337099,0.029401093,0.164991582,1.5205,0.28991378,5.25,3.535533906,3,0,174.835156,86.44697184,1.445,0.070710678,52.75,10.60660172,1.32E-07,58.7,24.04163056,3211.9,1104.500792,0.064312571,0.107816712,0,0.175202156,0.716981132,0.962086891,0.028746644,0.116621334,0.116621334
6,Ir0Ni6Ta94,Ni6 Ta94,0.029208966,0.030325796,0.150849447,1.5246,0.28991378,5.3,3.535533906,3,0,173.6126112,86.44697184,1.444,0.070710678,52.9,10.60660172,1.31E-07,59.04,24.04163056,3196.28,1104.500792,0.053669088,0.108342362,0,0.178764897,0.712892741,0.921895004,0.031365564,0.116205765,0.116205765
7,Ir0Ni7Ta93,Ni7 Ta93,0.030081915,0.031198261,0.136707311,1.5287,0.28991378,5.35,3.535533906,3,0,172.3900664,86.44697184,1.443,0.070710678,53.05,10.60660172,1.31E-07,59.38,24.04163056,3180.66,1104.500792,0.043111764,0.108873163,0,0.182362548,0.70876429,0.888186629,0.033742558,0.115844316,0.115844316
8,Ir0Ni8Ta92,Ni8 Ta92,0.030955946,0.032018487,0.122565175,1.5328,0.28991378,5.4,3.535533906,3,0,171.1675216,86.44697184,1.442,0.070710678,53.2,10.60660172,1.30E-07,59.72,24.04163056,3165.04,1104.500792,0.032631399,0.10940919,0,0.185995624,0.704595186,0.859208324,0.035925361,0.115543347,0.115543347
9,Ir0Ni9Ta91,Ni9 Ta91,-0.03230835,0.03230835,0.10842304,1.5369,0.28991378,5.45,3.535533906,3,0,169.9449768,86.44697184,1.441,0.070710678,53.35,10.60660172,1.29E-07,60.06,24.04163056,3149.42,1104.500792,0.022220071,0.109950522,0,0.189664651,0.700384827,0.833831673,0.037947194,0.115308483,0.115308483
