,pretty_formula,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
0,La0Al0C100,C100,0.023994,0.023994,1,2.55,0,14,0,2,0,12.0107,0,0.7,0,95,0,1.00E-05,140,0,3800,0,0.148727319,0.5,0.5,0,0,0,0,0.148727319,0.148727319
1,La0Al1C99,Al1 C99,0.01658701,0.01658701,0.212132034,2.5406,0.664680374,13.99,0.707106781,2,0,12.16040839,10.58598149,0.7055,0.38890873,94.85,10.60660172,9.90E-06,140.95,67.17514421,3771.3347,2026.942801,1.975365713,0.501253133,0.498746867,0,0,1.239143408,0.082018542,0.147592585,0.13364861
2,La0Al2C98,Al2 C98,0.009191646,0.009191646,0.197989899,2.5312,0.664680374,13.98,0.707106781,2,0,12.31011677,10.58598149,0.711,0.38890873,94.7,10.60660172,9.80E-06,141.9,67.17514421,3742.6694,2026.942801,1.936867655,0.502512563,0.497487437,0,0,1.087376557,0.11446091,0.146535641,0.118816757
3,La0Al3C97,Al3 C97,0.001807911,0.00247289,0.183847763,2.5218,0.664680374,13.97,0.707106781,2,0,12.45982516,10.58598149,0.7165,0.38890873,94.55,10.60660172,9.70E-06,142.85,67.17514421,3714.0041,2026.942801,1.898695157,0.503778338,0.496221662,0,0,0.998852703,0.138337331,0.145616722,0.104124011
4,La0Al4C96,Al4 C96,-0.005564198,0.010669461,0.169705627,2.5124,0.664680374,13.96,0.707106781,2,0,12.60953354,10.58598149,0.722,0.38890873,94.4,10.60660172,9.60E-06,143.8,67.17514421,3685.3388,2026.942801,1.860767504,0.505050505,0.494949495,0,0,0.936165918,0.157634332,0.144877703,0.089489661
5,La0Al5C95,Al5 C95,-0.012924679,0.018553169,0.155563492,2.503,0.664680374,13.95,0.707106781,2,0,12.75924193,10.58598149,0.7275,0.38890873,94.25,10.60660172,9.50E-06,144.75,67.17514421,3656.6735,2026.942801,1.823027624,0.506329114,0.493670886,0,0,0.887608216,0.173921155,0.144344693,0.074857185
6,La0Al6C94,Al6 C94,-0.020273533,0.026124013,0.141421356,2.4936,0.664680374,13.94,0.707106781,2,0,12.90895032,10.58598149,0.733,0.38890873,94.1,10.60660172,9.40E-06,145.7,67.17514421,3628.0082,2026.942801,1.785438713,0.507614213,0.492385787,0,0,0.847970541,0.188015313,0.144031249,0.060190819
7,La0Al7C93,Al7 C93,-0.02761076,0.033381995,0.127279221,2.4842,0.664680374,13.93,0.707106781,2,0,13.0586587,10.58598149,0.7385,0.38890873,93.95,10.60660172,9.30E-06,146.65,67.17514421,3599.3429,2026.942801,1.747980829,0.508905852,0.491094148,0,0,0.814477271,0.200410028,0.143941493,0.045472092
8,La0Al8C92,Al8 C92,0.037565533,0.037565533,0.113137085,2.4748,0.664680374,13.92,0.707106781,2,0,13.20836709,10.58598149,0.744,0.38890873,93.8,10.60660172,9.20E-06,147.6,67.17514421,3570.6776,2026.942801,1.710647761,0.510204082,0.489795918,0,0,0.785473364,0.211431621,0.144072743,0.030696647
9,La0Al9C91,Al9 C91,0.030022397,0.030022397,0.098994949,2.4654,0.664680374,13.91,0.707106781,2,0,13.35807547,10.58598149,0.7495,0.38890873,93.65,10.60660172,9.10E-06,148.55,67.17514421,3542.0123,2026.942801,1.673444294,0.511508951,0.488491049,0,0,0.759892386,0.221310206,0.144417587,0.015871462
