,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
1,Pd75Si15Ag3Cu7,10,Pd75 Si15 Ag3 Cu7,0.000669938,0.006833735,0.043716257,2.1259,0.200781647,10.7,2.216308521,2.85,0.55819672,91.712091,45.11463097,1.3575,0.178710147,71.67,8.846068763,0.000150083,117.4,158.0925524,1756.1793,241.4421753,-0.130057479,0.043478261,0.032608696,0.923913043,0,0.392351298,0.086069673,0.080353508,0.028427709
3,Ti40Zr10Cu34Pd14Sn2,10,Ti40 Zr10 Cu34 Pd14 Sn2,-0.005988159,0.016611362,0.063541325,1.7422,0.322230222,7.42,4.157678478,2.98,0.168005376,67.14784,26.29625763,1.399,0.067341297,61.1,12.82245384,2.27E-07,158.52,209.0046964,1716.8704,401.5015109,-0.937599122,0.185983827,0.005390836,0.808625337,0,0.595838132,0.073391976,0.170737511,-0.10771397
5,Ti45Zr20Be25Cu10,10,Ti45 Zr20 Be25 Cu10,0.004300978,0.015406642,0.038796782,1.5415,0.179222775,4.2,2.924849488,2.5,1.04637016,48.3925955,33.69456981,1.3375,0.214335674,59.2,14.6322312,2.78E-07,102,147.7055663,1824.827,305.1949416,-0.568905327,0.452380952,0,0.547619048,0,0.746737791,0.120057521,0.142947371,-0.191279051
6,Ti45Zr20Be27Cu8,10,Ti45 Zr20 Be27 Cu8,0.006421503,0.014829816,0.021602469,1.5349,0.169152266,4.02,2.715118175,2.46,1.078187804,47.30191914,34.40806724,1.3315,0.220862462,59.3,14.85752646,2.78E-07,97.8,140.0686523,1828.8716,299.4811953,-0.579159139,0.47761194,0,0.52238806,0,0.706027662,0.122426125,0.145773399,-0.199774908
8,(Ti0.41Zr0.25Be0.34)92Fe8,10,Ti37.72 Zr23 Be31.28 Fe8,0.013213223,0.018027433,0.044946855,1.524284,0.155341192,3.6944,1.865400458,2.3744,1.107840445,46.32356293,35.9872449,1.32502,0.232501446,59.4728,14.56327225,2.70E-07,79.4204,90.99405774,1854.4332,259.8584865,-0.685576481,0.541359896,0,0.458640104,0,0.635900453,0.131242344,0.164139681,-0.241925681
9,Ti40Zr25Cu15Be20,10,Ti40 Zr25 Cu15 Be20,0.006924542,0.018826559,0.056407607,1.5475,0.206836816,4.65,3.287505484,2.6,0.946099834,53.2871364,33.01606975,1.36,0.201046215,58.85,14.02931496,2.78E-07,112.55,162.4908712,1824.0655,324.1435356,-0.544033528,0.397849462,0,0.602150538,0,0.840456832,0.117867064,0.134341945,-0.113825064
10,Ti41Zr25Be26Cu8,10,Ti41 Zr25 Be26 Cu8,-0.002730462,0.018017902,0.024494897,1.5241,0.175318396,4.04,2.6702593,2.48,1.051998659,49.85831732,35.53647541,1.3425,0.222312829,58.94,14.63762256,2.84E-07,96.17,138.1292754,1842.0316,303.1375201,-0.583593193,0.475247525,0,0.524752475,0,0.717385619,0.124946727,0.145266834,-0.199306629
11,Ti41Zr25Be28Ag6,10,Ti41 Zr25 Be28 Ag6,0.005115526,0.018239422,0.024494897,1.5193,0.170464247,3.86,2.42441754,2.44,1.083104838,51.42697296,39.93025127,1.3515,0.241144438,58.98,14.80154825,2.84E-07,93.77,136.1375264,1838.7058,316.4469364,-0.561410563,0.502590674,0,0.497409326,0,0.705552534,0.125329695,0.14812698,-0.211048142
12,Ti40Zr26Be28Fe6,10,Ti40 Zr26 Be28 Fe6,-0.001964012,0.017330562,0.016329932,1.5112,0.151921642,3.68,1.692461645,2.44,1.080749064,48.73915096,36.39555616,1.341,0.230461902,58.36,14.34906661,2.89E-07,72.78,89.46710071,1875.14,259.2815872,-0.625979442,0.543478261,0,0.456521739,0,0.658087873,0.128393657,0.152205539,-0.213403072
13,Cu44.25 Ag14.75 Zr36 Ti5,10,Cu44.25 Ag14.75 Zr36 Ti5,-0.004883741,0.010843901,0.030207615,1.681225,0.341208163,8.13,4.269200736,3,0,79.2636545,22.55313372,1.461375,0.132045882,62.5225,13.74217303,1.86E-07,249.805,234.9017114,1646.0954,479.7369588,-0.300605158,0.173431734,0,0.826568266,0,0.825723443,0.101557729,0.105216587,-0.029394579
14,Cu44Zr44Ag6Al6,10,Cu44 Zr44 Ag6 Al6,-0.001159759,0.00608165,0.005,1.6336,0.356777741,8.04,4.64001321,2.94,0.30517336,76.18978432,24.89380663,1.447,0.143904094,62.3,15.34338355,2.01E-07,226.02,236.788354,1663.8428,543.7566285,-0.411927643,0.201612903,0.008064516,0.790322581,0,0.598010682,0.105724349,0.105518461,-0.055298164
15,Zr48Cu37Al7Ag8,10,Zr48 Cu37 Al7 Ag8,-0.008964082,0.01356306,0.02531435,1.6085,0.351873806,7.78,4.649200228,2.93,0.323671805,77.8177037,25.8357773,1.459,0.144744873,61.44,15.3788338,2.17E-07,209.89,234.1116577,1687.9522,552.3031098,-0.426636093,0.218926554,0.009887006,0.771186441,0,0.61526631,0.101829147,0.102856616,-0.045977367
