,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
0,Pd25Ni57P18,10,Pd25 Ni57 P18,0.020895838,0.020895838,0.033500956,2.0329,0.185814538,10.9,2.521879439,2.82,0.504375888,65.63551516,33.71648689,1.2995,0.186241467,71.64,11.34601962,8.60E-08,69.91248,44.10090678,1499.0865,728.9674318,-0.500309625,0.164835165,0.059340659,0.775824176,0,0.586616691,0.103001088,0.126935626,-0.09433437
1,Pd75Si15Ag3Cu7,10,Pd75 Si15 Ag3 Cu7,0.000669938,0.006833735,0.043716257,2.1259,0.200781647,10.7,2.216308521,2.85,0.55819672,91.712091,45.11463097,1.3575,0.178710147,71.67,8.846068763,0.000150083,117.4,158.0925524,1756.1793,241.4421753,-0.130057479,0.043478261,0.032608696,0.923913043,0,0.392351298,0.086069673,0.080353508,0.028427709
2,Pt57.5Cu14.7Ni5.3P22.5,10,Pt57.5 Cu14.7 Ni5.3 P22.5,-0.015555501,0.018723855,0.02200742,2.18428,0.188610331,11.272,2.643744769,2.775,0.541660983,131.5944087,96.70551549,1.27125,0.189581344,73.485,11.69004906,8.98E-08,105.0761,163.5560096,1536.37369,905.8352483,-0.490238635,0.074859419,0.039538425,0.414069822,0.471532334,0.528908248,0.116458382,0.115554598,-0.062042926
3,Ti40Zr10Cu34Pd14Sn2,10,Ti40 Zr10 Cu34 Pd14 Sn2,-0.005988159,0.016611362,0.063541325,1.7422,0.322230222,7.42,4.157678478,2.98,0.168005376,67.14784,26.29625763,1.399,0.067341297,61.1,12.82245384,2.27E-07,158.52,209.0046964,1716.8704,401.5015109,-0.937599122,0.185983827,0.005390836,0.808625337,0,0.595838132,0.073391976,0.170737511,-0.10771397
4,Ti45Zr16Be20Cu10Ni9,10,Ti45 Zr16 Be20 Cu10 Ni9,0.010147114,0.014895577,0.030178532,1.5817,0.207650366,4.84,3.396469414,2.6,0.946894764,49.5754324,29.82449446,1.3445,0.188989252,59.42,13.60304632,2.65E-07,99.77,141.6078523,1817.227,283.5906786,-0.716687888,0.392561983,0,0.607438017,0,0.766083403,0.111324793,0.146034116,-0.103214486
5,Ti45Zr20Be25Cu10,10,Ti45 Zr20 Be25 Cu10,0.004300978,0.015406642,0.038796782,1.5415,0.179222775,4.2,2.924849488,2.5,1.04637016,48.3925955,33.69456981,1.3375,0.214335674,59.2,14.6322312,2.78E-07,102,147.7055663,1824.827,305.1949416,-0.568905327,0.452380952,0,0.547619048,0,0.746737791,0.120057521,0.142947371,-0.191279051
6,Ti45Zr20Be27Cu8,10,Ti45 Zr20 Be27 Cu8,0.006421503,0.014829816,0.021602469,1.5349,0.169152266,4.02,2.715118175,2.46,1.078187804,47.30191914,34.40806724,1.3315,0.220862462,59.3,14.85752646,2.78E-07,97.8,140.0686523,1828.8716,299.4811953,-0.579159139,0.47761194,0,0.52238806,0,0.706027662,0.122426125,0.145773399,-0.199774908
7,Ti45Zr20Be31Ni4,10,Ti45 Zr20 Be31 Ni4,0.010661662,0.015818438,0.039800541,1.5221,0.146984388,3.62,1.960352703,2.38,1.138752209,44.92646242,35.68099881,1.3195,0.233892267,59.3,15.16355213,2.81E-07,77.04,94.64823277,1851.77,263.6008639,-0.66843838,0.552486188,0,0.447513812,0,0.569877291,0.126984511,0.153910422,-0.239516436
8,(Ti0.41Zr0.25Be0.34)92Fe8,10,Ti37.72 Zr23 Be31.28 Fe8,0.013213223,0.018027433,0.044946855,1.524284,0.155341192,3.6944,1.865400458,2.3744,1.107840445,46.32356293,35.9872449,1.32502,0.232501446,59.4728,14.56327225,2.70E-07,79.4204,90.99405774,1854.4332,259.8584865,-0.685576481,0.541359896,0,0.458640104,0,0.635900453,0.131242344,0.164139681,-0.241925681
9,Ti40Zr25Cu15Be20,10,Ti40 Zr25 Cu15 Be20,0.006924542,0.018826559,0.056407607,1.5475,0.206836816,4.65,3.287505484,2.6,0.946099834,53.2871364,33.01606975,1.36,0.201046215,58.85,14.02931496,2.78E-07,112.55,162.4908712,1824.0655,324.1435356,-0.544033528,0.397849462,0,0.602150538,0,0.840456832,0.117867064,0.134341945,-0.113825064
