,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
0,Pd25Ni57P18,10,Pd25 Ni57 P18,0.020895838,0.020895838,0.033500956,2.0329,0.185814538,10.9,2.521879439,2.82,0.504375888,65.63551516,33.71648689,1.2995,0.186241467,71.64,11.34601962,8.60E-08,69.91248,44.10090678,1499.0865,728.9674318,-0.500309625,0.164835165,0.059340659,0.775824176,0,0.586616691,0.103001088,0.126935626,-0.09433437
26,Co48Cr15Mo14C15B6Er2,10,Co48 Cr15 Mo14 C15 B6 Er2,0.003098008,0.015376841,0.051345532,1.9835,0.347369881,9.22,3.329631801,2.79,0.486479097,55.3143936,35.626564,1.252,0.324347254,66.96,17.55441509,60000000000,104.48,35.88119563,2328.06,869.1564904,0.25696612,0.240168539,0.050561798,0.675561798,0.033707865,0.838639406,0.182956591,0.213361695,-0.229749721
27,Fe48Cr15Mo14C15B6Er2,10,Fe48 Cr15 Mo14 C15 B6 Er2,0.003098008,0.015376841,0.051345532,1.9595,0.358668384,8.74,3.426922027,2.79,0.486479097,53.83206,35.45903538,1.276,0.335859661,65.52,17.98674421,60000000000,94.88,39.40291885,2348.7,850.3593014,0.272767435,0.25753012,0.054216867,0.652108434,0.036144578,0.842670909,0.182956591,0.21231559,-0.11967003
49,Ca60Mg17.5Zn22.5,10,Ca60 Mg17.5 Zn22.5,-0.005522518,0.007252961,0.031180478,1.2005,0.358170219,4.25,5.586416892,1.45,1.117283378,43.0172,17.91215563,1.64625,0.259662274,39.475,38.48354481,4.16E-08,175,44.26885523,986.378,231.8576751,-0.101647171,0.470588235,0,0.529411765,0,0.516782002,0.146335788,0.046014752,-0.073377029
50,Ca62.5Mg17.5Zn20,10,Ca62.5 Mg17.5 Zn20,-0.013343682,0.013343682,0.01767767,1.18425,0.353620814,4,5.449621626,1.4,1.089924325,42.383925,17.58254986,1.6575,0.25829622,37.975,38.6710651,4.10E-08,177,43.74573231,996.936,228.7175114,-0.09004149,0.5,0,0.5,0,0.537956288,0.141767284,0.044516686,-0.049757428
57,Fe48Cr15Mo14C15B6Dy2,9,Fe48 Cr15 Mo14 C15 B6 Dy2,0.003098008,0.015376841,0.051345532,1.9591,0.359826773,8.7,3.354899328,2.79,0.486479097,53.73688,35.03105463,1.276,0.335859661,65.56,17.85127974,60000000000,94.8,39.63924337,2346.26,852.8381688,0.276217765,0.259090909,0.054545455,0.656060606,0.03030303,0.845291967,0.182956591,0.212316763,-0.119917923
78,Fe56Mn5Cr7Mo12Er2C12B6,8,Fe56 Mn5 Cr7 Mo12 Er2 C12 B6,-0.000386247,0.017243762,0.025980762,1.9309,0.353271376,8.71,3.254856144,2.82,0.477924948,54.60775325,35.03058694,1.296,0.326494374,64.87,17.40842868,60000000000,87.17,45.2940648,2223.21,859.385857,0.2538406,0.261939219,0.04341534,0.659913169,0.034732272,0.918548316,0.1692356,0.210443019,-0.086999465
80,Fe48Cr15Mo14C15B6Y2,8,Fe48 Cr15 Mo14 C15 B6 Y2,0.002884049,0.015052356,0.040554015,1.9591,0.359826773,8.52,3.438806813,2.79,0.486479097,52.264997,30.36233614,1.277,0.337970362,65.58,17.7855188,60000000000,94.92,39.28849367,2348.64,850.4144751,0.281471428,0.26635514,0.056074766,0.677570093,0,0.849370479,0.184596376,0.212562602,-0.12060329
81,Cr30Fe26Co7Mo14C15B6Y2,8,Cr30 Fe26 Co7 Mo14 C15 B6 Y2,-0.007136433,0.022322564,0.043969687,1.9371,0.356301073,8.29,3.39950122,2.79,0.457852057,51.90383565,28.57948554,1.2735,0.316692436,65.19,16.98063756,60000000000,98.42,35.94923132,2400.98,769.4085467,0.313580833,0.252019386,0.05815832,0.689822294,0,0.990597577,0.185628197,0.246418107,-0.207789588
119,Fe51Mo12Cr4Mn10C15B6Er2,7,Fe51 Mo12 Cr4 Mn10 C15 B6 Er2,0.006301174,0.013753515,0.047827816,1.9436,0.374731094,8.9,3.31412368,2.79,0.491267947,53.3628435,35.07315883,1.275,0.338523983,65.96,17.90847321,60000000000,84.94,49.95605284,2257.21,908.1492544,0.451199369,0.270588235,0.052941176,0.641176471,0.035294118,0.844461312,0.182526131,0.22620679,-0.128179088
120,(Fe0.712B0.24Y0.048)96Nb4,7,Fe68.352 B23.04 Y4.608 Nb4,0.006568298,0.010375679,0.043929932,1.8410752,0.248105367,8.8016,3.731969696,2.7696,0.610342394,48.47506557,32.99685793,1.293712,0.372005258,64.78112,20.08310894,2.30E+11,63.84576,35.39021857,1971.96224,399.7259238,-0.244008433,0.30164984,0.035459246,0.662890914,0,0.643119335,0.174161237,0.108942039,0.07531137
126,Fe39Co9Cr15Mo14C15B6Y2,6.5,Fe39 Co9 Cr15 Mo14 C15 B6 Y2,0.002884049,0.015052356,0.054974742,1.9636,0.341245431,8.61,3.276246556,2.79,0.463809546,52.54293455,29.00947319,1.2725,0.320400646,65.85,16.89021713,60000000000,96.72,37.09325749,2344.77,814.2271916,0.311799505,0.262672811,0.055299539,0.68202765,0,0.980201758,0.184596376,0.252889245,-0.193202053
127,Fe51Mo12Cr4Mn10C15B6Y2,6.5,Fe51 Mo12 Cr4 Mn10 C15 B6 Y2,0.006088141,0.01327928,0.047827816,1.9432,0.375837267,8.68,3.342011785,2.79,0.491267947,51.7957805,29.76370588,1.276,0.340663748,66.02,17.7001666,60000000000,84.98,49.87566152,2257.15,908.1931464,0.46121353,0.279635258,0.054711246,0.665653495,0,0.85127885,0.184177996,0.226065814,-0.128483589
128,Fe68B22Y6Mo4,6.5,Fe68 B22 Y6 Mo4,-0.002996371,0.014705254,0.049459893,1.8528,0.272212241,8.72,3.70436419,2.78,0.595437196,49.524971,33.28179946,1.305,0.372685696,64.14,20.65059581,2.20E+11,66.92,41.26796128,1972.04,418.679147,-0.215662064,0.300613497,0.033742331,0.665644172,0,0.748927861,0.178743632,0.112169044,0.072106526
133,Fe66Co10Mo4P9C4B4Si3,6,Fe66 Co10 Mo4 P9 C4 B4 Si3,-0.002253002,0.009536056,0.058428083,1.9199,0.238827254,9.27,3.48802189,2.8,0.5440289,51.13169108,22.75075317,1.302,0.270466363,66.79,15.66068123,40000000000,79.56124,46.22273326,1813.027,879.7010425,-0.192694007,0.2696011,0.061898212,0.668500688,0,0.709827842,0.112261362,0.141632686,0.034953648
134,Fe68Ni5Mo5Cr2P12.5C5B2.5,6,Fe68 Ni5 Mo5 Cr2 P12.5 C5 B2.5,-0.004555201,0.011038024,0.045886333,1.93335,0.275193352,9.26,3.807215193,2.8,0.558227095,51.48872225,23.60949949,1.30125,0.287909844,66.92,16.91308342,25000000000,75.4845,48.52768949,1794.6675,1030.829457,-0.182226375,0.26584022,0.068870523,0.665289256,0,0.626813235,0.117388641,0.143975759,0.029791194
